{[s_1_inv,s_1_inv,s_2_inv]};[u[-2],u[-1],v[0]]
{[s_1_inv,s_2,s_2]};[u[-1],u[0],v[0]]
{[s_1_inv,s_2_inv,s_1],[s_2,s_1_inv,s_2_inv]};[u[-1],v[0],w[1]]
{[s_1_inv,s_2_inv,s_1_inv],[s_2_inv,s_1_inv,s_2_inv]};[u[-1],w[1],u[0]]
{[s_1,s_1,s_1],[s_1_inv,s_1_inv,s_1_inv],[s_2,s_2,s_2],[s_2_inv,s_2_inv,s_2_inv]};[u[0],v[0],w[0]]
{[s_2]};[u[0],w[0],u[1]]
{[s_2_inv]};[u[0],u[1],v[0]]
{[s_2,s_2,s_1]};[v[0],w[-1],w[-2]]
{[s_2,s_1_inv,s_1_inv]};[v[0],w[0],w[-1]]
{[s_1]};[v[0],w[1],w[0]]
{[s_2_inv,s_1_inv,s_1_inv]};[v[0],w[2],w[1]]
{[s_2_inv,s_2_inv,s_1]};[v[0],w[3],w[2]]
{[s_1,s_2,s_1_inv],[s_2_inv,s_1,s_2]};[w[0],w[-1],v[1]]
{[s_1,s_2,s_1],[s_2,s_1,s_2]};[w[0],u[1],w[-1]]
{[s_1,s_2_inv,s_2_inv],[s_1_inv,s_1_inv,s_2]};[w[0],v[1],u[1]]
{[s_2_inv,s_1,s_2_inv]};[u[1],w[-1],u[2]]
{[s_1_inv,s_2,s_1],[s_2,s_1,s_2_inv]};[u[1],v[0],w[-1]]
{[s_1,s_2,s_2]};[u[1],u[2],v[0]]
{[s_1,s_2_inv,s_1_inv],[s_2_inv,s_1_inv,s_2]};[v[1],u[-1],u[0]]
{[s_1,s_1,s_2],[s_1_inv,s_2_inv,s_2_inv]};[v[1],u[0],u[1]]
{[s_2,s_1_inv,s_2]};[v[1],u[1],u[2]]
{[s_1_inv]};[w[1],u[0],w[0]]
{[s_2,s_1,s_1],[s_2_inv,s_2_inv,s_1_inv]};[w[1],w[0],v[1]]
{[s_2,s_2,s_1_inv],[s_2_inv,s_1,s_1]};[w[1],v[1],u[0]]
{[s_1,s_1,s_2_inv]};[u[2],u[3],v[0]]
{[s_1,s_2_inv,s_1]};[w[2],u[-1],w[1]]
{[s_1_inv,s_2,s_1_inv]};[w[2],w[1],v[1]]
